timestamp,service,request_rate,error_rate,latency_ms,cpu,memory,error_rps,has_requests
2026-08-15T22:26:54.953159+00:00,frontend,8.443039494217919,0.0,84.61779942653563,1.8392082994379353,75.9359375,0.0,1
2026-08-15T22:26:54.953159+00:00,frontend-proxy,5.762074346764836,0.0,95.02290972222384,1.1361273057028844,65.30381944444444,0.0,1
2026-08-15T22:26:54.953159+00:00,checkout,0.3201152414869353,0.0,456.378424625007,1.2550725206767006,13.3331298828125,0.0,1
2026-08-15T22:26:54.953159+00:00,payment,0.40014405185866914,0.0,96.9256760000004,7.735770594725622,53.060825892857146,0.0,1
2026-08-15T22:26:54.953159+00:00,cart,2.680965147453083,0.0,9.402846268656722,0.5588926597998359,49.375,0.0,1
2026-08-15T22:26:54.953159+00:00,currency,1.2404465607618744,0.0,0.0809053870967726,0.5151272058065136,55.2734375,0.0,1
2026-08-15T22:26:54.953159+00:00,shipping,0.6402304829738706,0.0,135.36538687500172,0.46417378681652055,58.12500000000001,0.0,1
2026-08-15T22:26:54.953159+00:00,product-catalog,3.3211956304269536,0.0,34.355632397590476,2.1188441245874543,12.6617431640625,0.0,1
2026-08-15T22:26:54.953159+00:00,recommendation,0.12004321555760075,0.0,26.07912100013345,1.3147606686596338,11.29296875,0.0,1
2026-08-15T22:26:54.953159+00:00,email,0.3201152414869353,0.0,39.21590212499996,1.4093060523403709,78.73828125,0.0,1
2026-08-15T22:26:54.953159+00:00,ad,0.12004321555760075,0.0,12.487076999999772,1.0744122539652434,93.12630208333333,0.0,1
2026-08-15T22:26:54.953159+00:00,quote,0.36012964667280223,0.0,96.27897377777845,1.0726753454449935,58.36914062500001,0.0,1
2026-08-15T22:26:59.863611+00:00,frontend,9.163665466186472,0.0,66.52157730567303,1.841865656548059,75.6328125,0.0,1
2026-08-15T22:26:59.863611+00:00,frontend-proxy,7.042817126850739,0.0,63.84873863636047,1.1395104439776336,65.01736111111111,0.0,1
2026-08-15T22:26:59.863611+00:00,checkout,0.2801120448179271,0.0,528.7453367142922,1.2593835281165886,13.812255859375,0.0,1
2026-08-15T22:26:59.863611+00:00,payment,0.2801120448179271,0.0,14.51536800000031,7.754270133849235,76.84430803571428,0.0,1
2026-08-15T22:26:59.863611+00:00,cart,2.440976390556222,0.0,8.358234426229517,0.5593367102513693,49.375,0.0,1
2026-08-15T22:26:59.863611+00:00,currency,1.3205282112845136,0.0,0.0816852727272711,0.5156702704794829,60.82031249999999,0.0,1
2026-08-15T22:26:59.863611+00:00,shipping,0.6002400960384153,0.0,182.54452946666848,0.4651399303458606,60.7421875,0.0,1
2026-08-15T22:26:59.863611+00:00,product-catalog,2.9211684673869542,0.0,32.55257138356111,2.1264548544001602,12.4237060546875,0.0,1
2026-08-15T22:26:59.863611+00:00,recommendation,0.2000800320128051,0.0,22.720690800063313,1.3176745375253978,11.29140625,0.0,1
2026-08-15T22:26:59.863611+00:00,email,0.2801120448179271,0.0,48.05912757142817,1.412450193403365,79.1953125,0.0,1
2026-08-15T22:26:59.863611+00:00,ad,0.04001600640256102,0.0,7.516375999999582,1.0756150186468438,92.69791666666667,0.0,1
2026-08-15T22:26:59.863611+00:00,quote,0.3601440576230492,0.0,113.71772688888935,1.076917091384177,97.28515625,0.0,1
2026-08-15T22:27:04.866751+00:00,frontend,7.442381562099872,0.0,70.31989472043493,1.841865656548059,75.6328125,0.0,1
2026-08-15T22:27:04.866751+00:00,frontend-proxy,5.321702944942381,0.0,116.37563909773884,1.1395104439776336,65.01736111111111,0.0,1
2026-08-15T22:27:04.866751+00:00,checkout,0.280089628681178,0.0,463.69875242857955,1.2593835281165886,13.812255859375,0.0,1
2026-08-15T22:27:04.866751+00:00,payment,0.2400768245838668,0.0,14.510426833334352,7.754270133849235,76.84430803571428,0.0,1
2026-08-15T22:27:04.866751+00:00,cart,2.6008322663252237,0.0,10.176353846153788,0.5593367102513693,49.375,0.0,1
2026-08-15T22:27:04.866751+00:00,currency,1.0403329065300895,0.0,0.07578238461538321,0.5156702704794829,60.82031249999999,0.0,1
2026-08-15T22:27:04.866751+00:00,shipping,0.6001920614596671,0.0,160.18027106666798,0.4651399303458606,60.7421875,0.0,1
2026-08-15T22:27:04.866751+00:00,product-catalog,3.801216389244558,0.0,32.02281804210434,2.1264548544001602,12.4237060546875,0.0,1
2026-08-15T22:27:04.866751+00:00,recommendation,0.280089628681178,0.0,22.0434374286394,1.3176745375253978,11.29140625,0.0,1
2026-08-15T22:27:04.866751+00:00,email,0.280089628681178,0.0,46.09273671428465,1.412450193403365,79.1953125,0.0,1
2026-08-15T22:27:04.866751+00:00,ad,0.1200384122919334,0.0,15.338050000000294,1.0756150186468438,92.69791666666667,0.0,1
2026-08-15T22:27:04.866751+00:00,quote,0.3601152368758002,0.0,111.75420466666726,1.076917091384177,97.28515625,0.0,1
