run_id,split,run_role,pair_id,condition,root_cause_service,fault_type,fault_family,is_fault,timestamp,frontend__cpu,frontend-proxy__cpu,checkout__cpu,payment__cpu,cart__cpu,currency__cpu,shipping__cpu,product-catalog__cpu,recommendation__cpu,email__cpu,ad__cpu,quote__cpu,frontend__memory,frontend-proxy__memory,checkout__memory,payment__memory,cart__memory,currency__memory,shipping__memory,product-catalog__memory,recommendation__memory,email__memory,ad__memory,quote__memory,frontend__request_rate,frontend-proxy__request_rate,checkout__request_rate,payment__request_rate,cart__request_rate,currency__request_rate,shipping__request_rate,product-catalog__request_rate,recommendation__request_rate,email__request_rate,ad__request_rate,quote__request_rate,frontend__has_requests,frontend-proxy__has_requests,checkout__has_requests,payment__has_requests,cart__has_requests,currency__has_requests,shipping__has_requests,product-catalog__has_requests,recommendation__has_requests,email__has_requests,ad__has_requests,quote__has_requests,frontend__latency_ms,frontend-proxy__latency_ms,checkout__latency_ms,payment__latency_ms,cart__latency_ms,currency__latency_ms,shipping__latency_ms,product-catalog__latency_ms,recommendation__latency_ms,email__latency_ms,ad__latency_ms,quote__latency_ms,frontend__error_rps,frontend-proxy__error_rps,checkout__error_rps,payment__error_rps,cart__error_rps,currency__error_rps,shipping__error_rps,product-catalog__error_rps,recommendation__error_rps,email__error_rps,ad__error_rps,quote__error_rps,frontend__error_rate,frontend-proxy__error_rate,checkout__error_rate,payment__error_rate,cart__error_rate,currency__error_rate,shipping__error_rate,product-catalog__error_rate,recommendation__error_rate,email__error_rate,ad__error_rate,quote__error_rate
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:41:56.502308+00:00,9.036922447776814,6.09562107258882,10.270618565304355,10.131376965753663,0.2003817595661793,2.6133088465810883,2.453312477684493,14.957418870133967,6.204505306533074,7.321291061541816,3.428169469346117,4.093304887305507,74.21718750000001,61.857638888888886,29.0618896484375,77.17354910714286,34.3994140625,52.734375,65.703125,24.13330078125,14.08125,83.8984375,94.95572916666669,69.140625,7.641528305661131,5.161032206441288,0.2800560112022404,0.2800560112022404,2.800560112022404,1.2402480496099215,0.5201040208041607,4.080816163232646,0.3200640128025604,0.2800560112022404,0.0800160032006401,0.3200640128025604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.05394925653938,121.51155813953427,443.5668137144032,6.227777142857512,14.181970000000016,0.3493248709677323,41.22289561538212,49.0968133137317,40.34074487500038,84.89805285712438,5.241381499999989,11.544939624996914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:01.476748+00:00,9.036922447776814,6.09562107258882,10.270618565304355,10.131376965753663,0.2003817595661793,2.6133088465810883,2.453312477684493,14.957418870133967,6.204505306533074,7.321291061541816,3.428169469346117,4.093304887305507,74.21718750000001,61.857638888888886,29.0618896484375,77.17354910714286,34.3994140625,52.734375,65.703125,24.13330078125,14.08125,83.8984375,94.95572916666669,69.140625,5.6411282256451285,4.880976195239047,0.2800560112022404,0.2000400080016003,2.3604720944188835,1.1202240448089618,0.720144028805761,3.4806961392278453,0.2800560112022404,0.3200640128025604,0.0,0.3200640128025604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,72.84964509220606,111.2547540983689,389.0204070000244,4.4592652000003,12.839616949152544,0.378837821428569,19.10463611110673,41.15300663218199,22.672421714286816,68.67191724998702,0.0,11.49939849999646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:06.499522+00:00,9.035178920375216,6.095056399087165,10.271744062749637,10.146283553420702,0.2011439153332349,2.6131351302551424,2.453005972920943,14.956260335173887,6.203411860938147,7.320593697849152,3.427323624390003,4.0926461552265145,74.2140625,61.54079861111112,29.2266845703125,70.859375,34.9560546875,52.734375,65.68359375,24.0203857421875,14.08125,84.01953125,94.91666666666669,67.59765625,7.480299211968479,4.52018080723229,0.360014400576023,0.360014400576023,2.920116804672187,1.3600544021760872,0.720028801152046,3.720148805952238,0.1600064002560102,0.360014400576023,0.0,0.360014400576023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,71.66131024064589,106.148592920331,343.6087481111495,4.1322464444446165,12.756794520547963,0.3666723823529405,19.10463611110673,38.04133880643834,28.444392000001248,63.0109584444306,0.0,11.002654666663148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:11.494717+00:00,9.035178920375216,6.095056399087165,10.271744062749637,10.146283553420702,0.2011439153332349,2.6131351302551424,2.453005972920943,14.956260335173887,6.203411860938147,7.320593697849152,3.427323624390003,4.0926461552265145,74.2140625,61.54079861111112,29.2266845703125,70.859375,34.9560546875,52.734375,65.68359375,24.0203857421875,14.08125,84.01953125,94.91666666666669,67.59765625,6.920000000000002,4.6800000000000015,0.24,0.3600000000000001,2.7200000000000006,1.2800000000000002,0.4800000000000001,2.920000000000001,0.16,0.24,0.0,0.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,68.31762968208278,101.1078290597886,378.6205563334128,4.132246444444617,11.430873529411777,0.3783027500000062,23.68327233333851,38.81712652052942,28.444392000001244,75.72361116666193,0.0,10.015969285708186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:16.500266+00:00,9.03456890016881,6.094333842168857,10.270443382381767,10.151209729686023,0.201529500243513,2.612727168943124,2.4524761115064893,14.954134138529971,6.202439091821469,7.319560262181064,3.4263892312995003,4.091689322855729,74.22031249999999,61.857638888888886,28.900146484375,71.06026785714286,34.91943359375,52.734375,66.11328125,24.072265625,14.07734375,84.51171875,94.95052083333331,71.630859375,7.602432778489116,3.561139564660692,0.280089628681178,0.2400768245838668,2.440781049935979,1.1203585147247117,0.560179257362356,3.481113956466069,0.280089628681178,0.280089628681178,0.0,0.280089628681178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,58.13217031579843,159.97768539321095,405.1494140001013,2.920595333333343,15.521177049180336,0.2750966428571517,17.99775235715216,37.83673644827139,22.497038285713643,86.86846457142381,0.0,9.98662985714119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:21.467244+00:00,9.03456890016881,6.094333842168857,10.270443382381767,10.151209729686023,0.201529500243513,2.612727168943124,2.4524761115064893,14.954134138529971,6.202439091821469,7.319560262181064,3.4263892312995003,4.091689322855729,74.22031249999999,61.857638888888886,28.900146484375,71.06026785714286,34.91943359375,52.734375,66.11328125,24.072265625,14.07734375,84.51171875,94.95052083333331,71.630859375,5.241048209641928,4.000800160032006,0.2800560112022404,0.2400480096019203,1.880376075215043,0.8401680336067212,0.6401280256051209,2.720544108821764,0.1600320064012802,0.2800560112022404,0.0,0.2800560112022404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,57.25270515268657,146.81988999996798,262.788540285746,3.1804584999999856,13.090840425531953,0.1451655714285683,11.092338625001048,29.86187574998108,14.305654999996475,46.46054971427657,0.0,5.69404957142459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:26.520045+00:00,9.032465259898965,6.093099232821832,10.270564794088802,10.164609686353872,0.2020875871920471,2.6123793984498738,2.451808096017833,14.951962609747335,6.201220489055276,7.317621842834571,3.425567160559204,4.090850528769175,74.3140625,62.10069444444445,29.0618896484375,71.26395089285714,35.048828125,52.734375,65.6640625,26.812744140625,14.07734375,83.99609375,94.99088541666669,71.7578125,6.040966554648743,3.200512081933109,0.3200512081933109,0.4000640102416386,2.4803968634981595,1.120179228676588,0.4800768122899663,2.48039686349816,0.2000320051208193,0.280044807169147,0.0,0.3600576092174747,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,59.10702704636679,109.58437499996506,208.73411974997725,2.4623491000000284,11.48817258064522,0.1378062857142765,8.808185166665984,26.124792225802068,14.311346199997937,42.9518790000085,0.0,8.108887999997629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:31.508854+00:00,9.032465259898965,6.093099232821832,10.270564794088802,10.164609686353872,0.2020875871920471,2.6123793984498738,2.451808096017833,14.951962609747335,6.201220489055276,7.317621842834571,3.425567160559204,4.090850528769175,74.3140625,62.10069444444445,29.0618896484375,71.26395089285714,35.048828125,52.734375,65.6640625,26.812744140625,14.07734375,83.99609375,94.99088541666669,71.7578125,5.00040003200256,4.20033602688215,0.2800224017921433,0.2400192015361228,1.7201376110088806,0.8000640051204095,0.6400512040963277,2.4801984158732697,0.2000160012801023,0.2800224017921433,0.0,0.2800224017921433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,53.76014136801215,88.5585904761661,202.62589842852736,1.6215998333333723,11.083295348837204,0.0913238999999805,7.420872187501573,28.25911867741008,14.311346199997931,43.22336214286874,0.0,8.369674428565693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:36.482779+00:00,9.032097391814768,6.092868984846687,10.269807977375672,10.173260598888172,0.2025149160986474,2.6122052959915534,2.451688104958831,14.951399395030911,6.202485792087311,7.317266198018131,3.4248525859360286,4.089957088829214,74.228125,61.57552083333333,28.9154052734375,70.78962053571428,34.9169921875,52.734375,65.8203125,24.0509033203125,14.09140625,83.953125,95.26953125,74.0625,7.12170921021045,4.481075458109946,0.3200768184364247,0.3200768184364247,1.9204609106185484,0.920220853004721,0.7201728414819556,3.3207969912779065,0.2800672161318716,0.3200768184364247,0.0,0.3200768184364247,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,59.9517587977615,101.49598214283468,188.99427649995772,3.320555999999897,10.416612500000005,0.0888206086956316,8.245600111111546,74.95130939759365,13.60092685714023,38.503711500015925,0.0,7.497299624992593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_control_cart_context_001,train,healthy,,healthy,healthy,none,healthy,0,2026-08-16T20:42:41.515421+00:00,9.032097391814768,6.092868984846687,10.269807977375672,10.173260598888172,0.2025149160986474,2.6122052959915534,2.451688104958831,14.951399395030911,6.202485792087311,7.317266198018131,3.4248525859360286,4.089957088829214,74.228125,61.57552083333333,28.9154052734375,70.78962053571428,34.9169921875,52.734375,65.8203125,24.0509033203125,14.09140625,83.953125,95.26953125,74.0625,5.880000000000001,3.4800000000000004,0.3600000000000001,0.4000000000000001,1.9200000000000004,1.0800000000000003,0.6400000000000001,2.640000000000001,0.28,0.3600000000000001,0.0,0.3600000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,69.47338564628444,108.05227586203632,133.1887496666362,3.1595466999999187,6.242949999999961,0.1242905185185118,10.283320249995995,84.35359066666483,16.49628857142774,21.523024777791257,0.0,8.856417999990905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
