epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.959141731262207,0.46718709270159403,0.9479166666666666,0.9470450568203315,0.9474270106805869
2,0.33538446293936836,0.10104653152326742,0.9895833333333334,0.9871957837828246,0.9894295123372264
3,0.15592397451400758,0.06745698694139719,0.9875,0.9845621760387928,0.9872816674169123
4,0.09371015537116263,0.034471360594034196,0.99375,0.9924026590693258,0.9937084520417853
5,0.06432503503229883,0.03652654100830356,0.9895833333333334,0.9872227151730257,0.9894631765749778
6,0.051784550978077784,0.024841145569613823,0.9916666666666667,0.9898247597512718,0.991591294516676
7,0.03675026318265332,0.03258381386986002,0.9895833333333334,0.9872227151730257,0.9894631765749778
8,0.03292548215637604,0.022201911185402424,0.9895833333333334,0.9872227151730257,0.9894631765749778
9,0.030254692604972256,0.03252812229523746,0.9895833333333334,0.9872227151730257,0.9894631765749778
10,0.02362532732076943,0.030407724939868784,0.9895833333333334,0.9872227151730257,0.9894631765749778
11,0.02316635497328308,0.04441193782549817,0.9875,0.9845621760387928,0.9872816674169123
12,0.014823783253733482,0.04887749038268036,0.9875,0.9845621760387928,0.9872816674169123
13,0.011404506665551,0.0326315157134862,0.9895833333333334,0.9872227151730257,0.9894631765749778
14,0.015113152848142717,0.03873760183923878,0.9895833333333334,0.9872227151730257,0.9894631765749778
15,0.014401282013083497,0.04690253442386165,0.9875,0.9845956354300384,0.9873234916559691
16,0.010635628737509251,0.03676021673697202,0.9895833333333334,0.9872227151730257,0.9894631765749778
17,0.014499112487667137,0.041061441100221904,0.9895833333333334,0.9872227151730257,0.9894631765749778
18,0.007488811057474878,0.04577727994013306,0.9875,0.9845621760387928,0.9872816674169123
19,0.01569097125902772,0.05520104087433234,0.9875,0.9845621760387928,0.9872816674169123
20,0.010427966843255691,0.04734890614733255,0.9875,0.9845621760387928,0.9872816674169123
21,0.009253520461627179,0.047959826308336534,0.9895833333333334,0.9872227151730257,0.9894631765749778
22,0.016338439684154257,0.04466605710561756,0.9895833333333334,0.9872227151730257,0.9894631765749778
23,0.008699387617202268,0.04461910166986248,0.9875,0.9845621760387928,0.9872816674169123
24,0.01196328667509887,0.058347837315159266,0.9875,0.9845621760387928,0.9872816674169123
25,0.010825743365825879,0.058945195257062245,0.9895833333333334,0.9872227151730257,0.9894631765749778
26,0.005402648968932529,0.058998066713623606,0.9895833333333334,0.9872227151730257,0.9894631765749778
27,0.009405246093713989,0.05264243564345937,0.9875,0.9845621760387928,0.9872816674169123
28,0.005138868390996423,0.05039733044077366,0.9875,0.9845621760387928,0.9872816674169123
29,0.003858831859866364,0.07450343494710979,0.9854166666666667,0.9819426032746946,0.9851716169252266
