run_id,run_role,pair_id,condition,root_cause_service,fault_type,fault_family,is_fault,timestamp,frontend__cpu,frontend-proxy__cpu,checkout__cpu,payment__cpu,cart__cpu,currency__cpu,shipping__cpu,product-catalog__cpu,recommendation__cpu,email__cpu,ad__cpu,quote__cpu,frontend__memory,frontend-proxy__memory,checkout__memory,payment__memory,cart__memory,currency__memory,shipping__memory,product-catalog__memory,recommendation__memory,email__memory,ad__memory,quote__memory,frontend__request_rate,frontend-proxy__request_rate,checkout__request_rate,payment__request_rate,cart__request_rate,currency__request_rate,shipping__request_rate,product-catalog__request_rate,recommendation__request_rate,email__request_rate,ad__request_rate,quote__request_rate,frontend__has_requests,frontend-proxy__has_requests,checkout__has_requests,payment__has_requests,cart__has_requests,currency__has_requests,shipping__has_requests,product-catalog__has_requests,recommendation__has_requests,email__has_requests,ad__has_requests,quote__has_requests,frontend__latency_ms,frontend-proxy__latency_ms,checkout__latency_ms,payment__latency_ms,cart__latency_ms,currency__latency_ms,shipping__latency_ms,product-catalog__latency_ms,recommendation__latency_ms,email__latency_ms,ad__latency_ms,quote__latency_ms,frontend__error_rps,frontend-proxy__error_rps,checkout__error_rps,payment__error_rps,cart__error_rps,currency__error_rps,shipping__error_rps,product-catalog__error_rps,recommendation__error_rps,email__error_rps,ad__error_rps,quote__error_rps,frontend__error_rate,frontend-proxy__error_rate,checkout__error_rate,payment__error_rate,cart__error_rate,currency__error_rate,shipping__error_rate,product-catalog__error_rate,recommendation__error_rate,email__error_rate,ad__error_rate,quote__error_rate
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:26:54.953159+00:00,1.8392082994379355,1.1361273057028844,1.2550725206767006,7.735770594725622,0.5588926597998359,0.5151272058065136,0.4641737868165205,2.1188441245874543,1.3147606686596338,1.4093060523403709,1.0744122539652434,1.0726753454449935,75.9359375,65.30381944444444,13.3331298828125,53.060825892857146,49.375,55.2734375,58.12500000000001,12.6617431640625,11.29296875,78.73828125,93.12630208333331,58.36914062500001,8.443039494217919,5.762074346764836,0.3201152414869353,0.4001440518586691,2.680965147453083,1.2404465607618744,0.6402304829738706,3.3211956304269536,0.1200432155576007,0.3201152414869353,0.1200432155576007,0.3601296466728022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,84.61779942653563,95.02290972222384,456.378424625007,96.9256760000004,9.402846268656722,0.0809053870967726,135.36538687500172,34.35563239759048,26.07912100013345,39.21590212499996,12.487076999999772,96.27897377777845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:26:59.863611+00:00,1.841865656548059,1.1395104439776336,1.2593835281165886,7.754270133849235,0.5593367102513693,0.5156702704794829,0.4651399303458606,2.12645485440016,1.3176745375253978,1.412450193403365,1.0756150186468438,1.076917091384177,75.6328125,65.01736111111111,13.812255859375,76.84430803571428,49.375,60.82031249999999,60.7421875,12.4237060546875,11.29140625,79.1953125,92.69791666666669,97.28515625,9.163665466186472,7.042817126850739,0.2801120448179271,0.2801120448179271,2.440976390556222,1.3205282112845136,0.6002400960384153,2.9211684673869542,0.2000800320128051,0.2801120448179271,0.040016006402561,0.3601440576230492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.52157730567303,63.84873863636047,528.7453367142922,14.51536800000031,8.358234426229517,0.0816852727272711,182.54452946666848,32.55257138356111,22.720690800063316,48.05912757142817,7.516375999999582,113.71772688888936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:04.866751+00:00,1.841865656548059,1.1395104439776336,1.2593835281165886,7.754270133849235,0.5593367102513693,0.5156702704794829,0.4651399303458606,2.12645485440016,1.3176745375253978,1.412450193403365,1.0756150186468438,1.076917091384177,75.6328125,65.01736111111111,13.812255859375,76.84430803571428,49.375,60.82031249999999,60.7421875,12.4237060546875,11.29140625,79.1953125,92.69791666666669,97.28515625,7.442381562099872,5.321702944942381,0.280089628681178,0.2400768245838668,2.600832266325224,1.0403329065300897,0.6001920614596671,3.801216389244558,0.280089628681178,0.280089628681178,0.1200384122919334,0.3601152368758002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.31989472043493,116.37563909773884,463.6987524285796,14.510426833334352,10.176353846153788,0.0757823846153832,160.18027106666798,32.02281804210434,22.0434374286394,46.09273671428465,15.338050000000294,111.75420466666726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:09.908160+00:00,1.8473943617883808,1.142198315403702,1.264784506221768,7.773964630766176,0.5601196666785155,0.5165322611684776,0.4664599312909958,2.134586958566354,1.3205887492190052,1.414521176321977,1.0759441223893886,1.08012745326998,75.6359375,65.05208333333333,14.447021484375,66.5234375,49.9951171875,62.75390625,59.53125,13.1072998046875,11.29296875,79.26953125,92.8203125,58.974609375,5.802088751950703,4.92177183786163,0.2801008363010684,0.3601296466728022,2.440878716337882,0.920331319274939,0.6002160777880037,3.2811812252410872,0.1600576207434676,0.2801008363010684,0.0800288103717338,0.3201152414869353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.38674475862113,95.74117073170156,369.6558340000088,12.105363555555718,10.604901639344131,0.0754035652173868,111.07120433333353,31.92956147560944,19.016674750018865,68.27288642857042,19.24888700000065,90.01522550000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:14.957889+00:00,1.8473943617883808,1.142198315403702,1.264784506221768,7.773964630766176,0.5601196666785155,0.5165322611684776,0.4664599312909958,2.134586958566354,1.3205887492190052,1.414521176321977,1.0759441223893886,1.08012745326998,75.6359375,65.05208333333333,14.447021484375,66.5234375,49.9951171875,62.75390625,59.53125,13.1072998046875,11.29296875,79.26953125,92.8203125,58.974609375,6.001920614596671,6.402048655569782,0.280089628681178,0.280089628681178,2.2807298335467348,0.9603072983354672,0.6001920614596671,3.16101152368758,0.2400768245838668,0.280089628681178,0.0800256081946222,0.3201024327784891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.35542900001112,79.3051437499962,328.67135385714937,13.068144999999536,11.408542105263017,0.1067449583333325,114.17641773333412,32.62603502531676,16.99234383335958,48.57539314285636,19.24888700000065,79.16477275000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:19.962104+00:00,1.848374697759079,1.1432058297893364,1.268574453042311,7.791437839870234,0.5604113922448918,0.5169805591205117,0.4673294513390316,2.1405597606611897,1.32177546448575,1.4157085857939244,1.0762346234998048,1.081085318049767,75.5296875,64.71354166666666,14.422607421875,88.09430803571429,49.52392578125,57.79296874999999,59.375,12.9364013671875,11.2953125,79.7421875,92.671875,67.587890625,6.16,5.36,0.32,0.32,2.08,1.08,0.6799999999999999,3.32,0.32,0.32,0.08,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.57997968833293,115.79537313432284,315.7375843749978,18.418659499999197,7.36226923076898,0.1123748888888855,102.4089991176478,19.413551891566232,18.31908250006381,46.736572499999056,19.24888700000065,71.10273966666622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:24.955764+00:00,1.848374697759079,1.1432058297893364,1.268574453042311,7.791437839870234,0.5604113922448918,0.5169805591205117,0.4673294513390316,2.1405597606611897,1.32177546448575,1.4157085857939244,1.0762346234998048,1.081085318049767,75.5296875,64.71354166666666,14.422607421875,88.09430803571429,49.52392578125,57.79296874999999,59.375,12.9364013671875,11.2953125,79.7421875,92.671875,67.587890625,5.558665920179156,3.9990402303447175,0.3199232184275773,0.3199232184275773,2.3594337359033832,1.0797408621930735,0.6398464368551547,3.639126609613693,0.3199232184275773,0.3199232184275773,0.0799808046068943,0.3199232184275773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.34765338761818,82.49140217391339,259.38566433332744,19.339208166665536,4.998097872340333,0.1248977199999967,42.194893416667206,15.681995269842446,13.898753000112873,51.652490000000405,0.0,31.085600666666632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:29.932266+00:00,1.8593260352969936,1.149553465783086,1.2791327844969127,7.8137388066511,0.562096719038296,0.5188707661898172,0.4687929442477907,2.160396082686423,1.3265499467860136,1.422825036374786,1.0781983902646586,1.0832741512013084,75.546875,65.30815972222223,14.166259765625,70.21205357142857,49.71435546875,55.3125,58.41796875000001,15.6158447265625,11.29921875,79.5234375,92.78515625,71.806640625,8.397984483723906,6.198512357034312,0.4398944253379189,0.3599136207310245,2.5993761497240664,1.4796448852275454,0.9597696552827322,3.319203391186115,0.239942413820683,0.4398944253379189,0.0,0.4798848276413661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,71.19724347620557,91.4772244897991,382.3392534444381,23.183684166666357,13.122798245614034,0.1430459696969668,33.09309255000034,16.378068600000905,13.898753000112873,65.04136133333425,0.0,21.832868099999903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:34.999934+00:00,1.8593260352969936,1.149553465783086,1.2791327844969127,7.8137388066511,0.562096719038296,0.5188707661898172,0.4687929442477907,2.160396082686423,1.3265499467860136,1.422825036374786,1.0781983902646586,1.0832741512013084,75.546875,65.30815972222223,14.166259765625,70.21205357142857,49.71435546875,55.3125,58.41796875000001,15.6158447265625,11.29921875,79.5234375,92.78515625,71.806640625,10.71742781732384,7.718147644565304,0.4798848276413661,0.3999040230344717,3.1992321842757736,1.7995681036551228,0.9997600575861794,4.198992241861953,0.3199232184275773,0.4798848276413661,0.0399904023034471,0.5198752299448133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.6257520917084,150.20586666666765,408.87095318180616,22.93145619999923,24.80953472222228,0.1410677647058809,10.335192086956658,29.688568576087288,15.474803666739415,85.52375809090948,11.813228000000892,4.7902060000002775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy_pilot_001,healthy,,healthy,healthy,none,healthy,0,2026-08-15T22:27:39.940617+00:00,1.8655265701729875,1.153523871467507,1.2858199808392214,7.833202727081573,0.5630093434211022,0.5213997134403524,0.4699868767712206,2.172265853128302,1.329594751726286,1.4268677261583436,1.0789513943067512,1.0849124482293195,75.834375,65.62934027777779,13.3636474609375,89.91908482142857,49.40673828125,57.79296874999999,74.765625,12.689208984375,11.30078125,79.25390625,92.87369791666666,65.556640625,10.31711120886152,6.63814132043028,0.5198544407565882,0.5198544407565882,3.7189586915663617,1.439596912864398,1.0796976846482984,5.118566801295637,0.3199104250809773,0.5198544407565882,0.0799776062702443,0.5598432438917104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.77073577519543,131.8792590361442,380.9633946922975,19.03028546153767,21.55173548387101,0.1403504166666664,9.297051370370829,31.15614353906293,15.982164625078438,82.17760000000048,8.760498500000722,4.263027285714738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
