epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,0.9756984940281621,0.5808876951535543,0.9555555555555556,0.9572851947769034,0.9556323991561914
2,0.3723777605427636,0.19693874650531346,0.9694444444444444,0.9706253994953743,0.9697740398093635
3,0.17681356811964954,0.0977473634864307,0.9861111111111112,0.9850379176060668,0.986131037780966
4,0.10387717761375286,0.05519119871314615,1.0,1.0,1.0
5,0.08135714635804847,0.03829305929312896,1.0,1.0,1.0
6,0.06923706145198257,0.030932361083493256,1.0,1.0,1.0
7,0.039669088412214205,0.019746376546875884,0.9972222222222222,0.996666435169109,0.9972220293075909
8,0.03603375003569656,0.02167848599039846,1.0,1.0,1.0
9,0.02953445454024606,0.01680753590577903,1.0,1.0,1.0
10,0.024946102900085625,0.014661193639039994,0.9944444444444445,0.9933314809669354,0.9944429008057795
11,0.026418166717997304,0.01454873042853756,1.0,1.0,1.0
12,0.019360955363070524,0.01242747873831023,1.0,1.0,1.0
13,0.02149409855267516,0.008561627745641292,1.0,1.0,1.0
14,0.021770286960182367,0.009472793901416783,1.0,1.0,1.0
15,0.014545834202457357,0.012045357608197567,0.9944444444444445,0.9933314809669354,0.9944429008057795
16,0.018237239655314222,0.006881600324090363,1.0,1.0,1.0
17,0.019085325907777857,0.004989027672046278,1.0,1.0,1.0
18,0.009967522856055035,0.006804605079459078,1.0,1.0,1.0
19,0.015158916216481615,0.00473465474003913,1.0,1.0,1.0
20,0.012231375425364132,0.00921790149647374,0.9944444444444445,0.9933314809669354,0.9944429008057795
21,0.011563213135081308,0.0033092764458463836,1.0,1.0,1.0
22,0.013016718808837511,0.0038420450469453093,1.0,1.0,1.0
23,0.017977652315878206,0.014139592134193258,0.9916666666666667,0.9899937460913071,0.9916614550760892
24,0.020289516252362066,0.011964143107050202,0.9944444444444445,0.9933314809669354,0.9944429008057795
25,0.010453129915037641,0.007222164530281184,0.9972222222222222,0.996666435169109,0.9972220293075909
26,0.007929573342618014,0.011968452319302337,0.9944444444444445,0.9933314809669354,0.9944429008057795
27,0.015353268516008501,0.004124906471891639,1.0,1.0,1.0
28,0.004549762420356274,0.010065800655017181,0.9944444444444445,0.9933314809669354,0.9944429008057795
29,0.006474055784444014,0.004309990642488831,1.0,1.0,1.0
