,precision,recall,f1-score,support
healthy,1.0,0.8,0.8888888888888888,60.0
payment,0.9090909090909091,1.0,0.9523809523809523,120.0
cart,1.0,1.0,1.0,60.0
checkout,1.0,1.0,1.0,60.0
product_catalog,1.0,1.0,1.0,60.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.9818181818181818,0.96,0.9682539682539681,360.0
weighted avg,0.9696969696969698,0.9666666666666667,0.9656084656084656,360.0
