,precision,recall,f1-score,support
healthy,0.0,0.0,0.0,60.0
payment,0.6666666666666666,1.0,0.8,120.0
cart,1.0,1.0,1.0,60.0
checkout,1.0,0.9916666666666667,0.99581589958159,120.0
product_catalog,1.0,1.0,1.0,120.0
accuracy,0.8729166666666667,0.8729166666666667,0.8729166666666667,0.8729166666666667
macro avg,0.7333333333333333,0.7983333333333333,0.759163179916318,480.0
weighted avg,0.7916666666666666,0.8729166666666667,0.8239539748953976,480.0
