column,non_missing_count,unique_count,top_values,review_class
service,39600,12,"[[""frontend"", 3300], [""frontend-proxy"", 3300], [""checkout"", 3300], [""payment"", 3300], [""cart"", 3300], [""currency"", 3300], [""shipping"", 3300], [""product-catalog"", 3300], [""recommendation"", 3300], [""email"", 3300]]",entity_key_review
timestamp,39600,3300,"[[""2026-08-15T22:26:54.953159+00:00"", 12], [""2026-08-15T22:26:59.863611+00:00"", 12], [""2026-08-15T22:27:04.866751+00:00"", 12], [""2026-08-15T22:27:09.908160+00:00"", 12], [""2026-08-15T22:27:14.957889+00:00"", 12], [""2026-08-15T22:27:19.962104+00:00"", 12], [""2026-08-15T22:27:24.955764+00:00"", 12], [""2026-08-15T22:27:29.932266+00:00"", 12], [""2026-08-15T22:27:34.999934+00:00"", 12], [""2026-08-15T22:27:39.940617+00:00"", 12]]",time_key_review
