column,count,missing_count,min,p01,p05,median,mean,p95,p99,max,std,zero_count,negative_count,review_class
cpu,39600,0,0.0021978092614916,0.0123354821701222,0.13117470471760348,4.1704447692671724,5.393611711283968,15.16718563270169,22.32588456376873,23.195208672273665,4.496031729493954,0,0,candidate_feature_review
error_rate,38783,817,0.0,0.0,0.0,0.0,0.021974641936254466,0.0592592592592592,0.5555555555555556,1.0,0.10383084935314021,36265,0,candidate_feature_review
error_rps,39600,0,0.0,0.0,0.0,0.0,0.03859541659883165,0.1600128010240819,1.28,2.9607105705369285,0.21508200120105297,37082,0,candidate_feature_review
has_requests,39600,0,0.0,0.0,1.0,1.0,0.9793686868686868,1.0,1.0,1.0,0.14214841647611579,817,0,candidate_feature_review
latency_ms,38771,829,0.0461779999999976,0.09449451654414377,0.1362192200000092,29.64557747826684,119.10037138782197,513.5135914575858,1402.7084435332256,4719.3579554285325,263.22306990686235,0,0,candidate_feature_review
memory,39600,0,7.684326171875,8.2733154296875,9.84466552734375,62.20052083333333,55.09269962792139,95.23177083333331,95.6823046875,100.0,26.867386681215894,0,0,candidate_feature_review
request_rate,39600,0,0.0,0.0,0.0799904011518617,0.4400880176035207,1.5652102856847698,6.125488467496563,7.961592318463691,12.23951041958322,2.0287056779970434,817,0,candidate_feature_review
