epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,1.5739032639397514,1.5217626571655274,0.48541666666666666,0.4370733760197615,0.5000454237284057
2,1.4553057803048028,1.3895577589670818,0.35,0.31051946011560705,0.25554170515440494
3,1.3049503909216986,1.243885858853658,0.47708333333333336,0.45614467144374143,0.42816366658192917
4,1.1328657123777601,1.0882628122965494,0.5604166666666667,0.5528723433736008,0.543404385517896
5,0.9658832881185744,0.9459158500035604,0.6375,0.6437921961074451,0.651820448014775
6,0.8360413869222005,0.8317897399266561,0.6875,0.6938751012083091,0.6964008940542461
7,0.7336734559800889,0.7282824774583181,0.7208333333333333,0.7289723991085794,0.7312663099078074
8,0.6524614281124539,0.6525288025538126,0.825,0.8198779022582178,0.8222055751809697
9,0.5886113961537679,0.5811026652654012,0.8416666666666667,0.8355924332679463,0.8404927321654365
10,0.5272985961702135,0.514137327671051,0.86875,0.8616934578144171,0.8667388381831406
11,0.4819688174459669,0.4638021429379781,0.8854166666666666,0.8787100572139372,0.8845367343789131
12,0.45070424013667637,0.432769231001536,0.8854166666666666,0.8742368221485105,0.8836123542162503
13,0.40840247008535596,0.3963936448097229,0.89375,0.8847062429373599,0.8934974825707825
14,0.36581121351983814,0.37567270795504254,0.90625,0.8922362161776409,0.9052112366086056
15,0.3526836600568559,0.34662636121114093,0.91875,0.9041926734209446,0.9168153947538664
16,0.3288430988788605,0.33491845031579337,0.9229166666666667,0.9079636252600268,0.9204507147811403
17,0.3116101437144809,0.3207045257091522,0.925,0.9068210104532899,0.9207286440189932
18,0.28176109194755555,0.304598527153333,0.91875,0.8990320057198133,0.9146553917651513
19,0.2737349443965488,0.3145440250635147,0.9229166666666667,0.8946621175434736,0.9137821923838872
20,0.2608382638957765,0.30106382494171463,0.9270833333333334,0.9042320700316498,0.9201252523747271
21,0.23720272216531965,0.262779575586319,0.9395833333333333,0.9213916436041446,0.934634291347286
22,0.23785114222102696,0.28685584887862203,0.925,0.9005427978164813,0.9173451639372681
23,0.22190077834659153,0.28082302361726763,0.9270833333333334,0.9022100896560954,0.9194292787367857
24,0.21309004690912034,0.29124521613121035,0.9145833333333333,0.8789452473230058,0.9022529877251857
25,0.19798596402009327,0.2443050096432368,0.9354166666666667,0.9145228445700717,0.9294438782932346
26,0.19002353217866685,0.26661241402228675,0.93125,0.9056989198821016,0.9237903165192937
27,0.18674107210503685,0.26122902557253835,0.9270833333333334,0.9023002263412954,0.919541949593286
28,0.17532312605116102,0.2552981324493885,0.925,0.8943769309805678,0.9153849568291579
29,0.16849081880516475,0.29506358777483305,0.9041666666666667,0.8523305653901516,0.8852184015428844
30,0.1613690028587977,0.2509943189720313,0.925,0.8943769309805678,0.9153849568291579
31,0.16307495534420013,0.22698968599239985,0.9333333333333333,0.909305169733177,0.9264666270016363
32,0.14554025497701434,0.27044889784107606,0.9145833333333333,0.8749781623022395,0.901649532146092
33,0.14698683189021217,0.261732248403132,0.9166666666666666,0.878775549816749,0.9041923288372014
34,0.142991674443086,0.26663604117929934,0.9166666666666666,0.878775549816749,0.9041923288372014
35,0.1420666481057803,0.2676457677036524,0.9166666666666666,0.878775549816749,0.9041923288372014
36,0.13584598087602193,0.27118657796333234,0.9104166666666667,0.8636874721527569,0.8944827579124651
37,0.13398816337188085,0.2542422975723942,0.9208333333333333,0.8870192064811437,0.910244596336724
38,0.12363210717837016,0.24196926653385162,0.925,0.892441459999936,0.9149704296510827
39,0.12530469770232835,0.25871712922429047,0.91875,0.8807950072190416,0.906716650590067
40,0.12094471140040292,0.23881745984156927,0.925,0.8927791494790733,0.9153925415000044
41,0.11535285032457776,0.23853168695544202,0.925,0.8927791494790733,0.9153925415000044
